Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
short-sleeve-boy-tee,,,,,,,,Beige,,Medium,,,50961,0.0,shopify,3,deny,manual,88.00,108.00,true,true,50961,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_21_50264_23907.jpg?v=1597676164,11,,,,,,,,,,,,,,,,,,,lb,,
short-sleeve-boy-tee,,,,,,,,Beige,,Large,,,50965,0.0,shopify,1,deny,manual,88.00,108.00,true,true,50965,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_21_50264_23911_1.jpg?v=1597676164,12,,,,,,,,,,,,,,,,,,,lb,,
short-sleeve-boy-tee,,,,,,,,Grey,,X-Small,,,50954,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50954,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_21_50264_23913_1.jpg?v=1597676164,lb,,
short-sleeve-boy-tee,,,,,,,,Grey,,Small,,,50958,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50958,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_21_50264_23913_1.jpg?v=1597676164,lb,,
short-sleeve-boy-tee,,,,,,,,Grey,,Medium,,,50962,0.0,shopify,3,deny,manual,88.00,108.00,true,true,50962,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_21_50264_23913_1.jpg?v=1597676164,lb,,
short-sleeve-boy-tee,,,,,,,,Grey,,Large,,,50966,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50966,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_21_50264_23913_1.jpg?v=1597676164,lb,,
3-4-sleeve-shirt,Ballet Top,"<meta charset=""utf-8"">
<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://babyandco.us/"" target=""_blank"" class=""text-link"">Baby &amp; Company</a></em></p>
<p>Pirouette into summer. The Ballet Top from Organic by John Patrick is highly versatile in a dreamy cotton. 3/4 inch sleeves. Raw hemming. 100% Organic Cotton. Made in Peru. <em>Ashley is wearing an X-Small.</em></p>",Organic by John Patrick,women's tops,"arrivals, AW15, black, cotton, feather, organic, organic by john patrick, Shot 7/2/15, tops, white, Woman",true,Color,Black,Size,X-Small,,,50943,0.0,shopify,2,deny,manual,78.00,,true,true,50943,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/babyandco3.jpg?v=1597676107,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_04_50943_23749.jpg?v=1597676107,lb,,
3-4-sleeve-shirt,,,,,,,,Black,,Small,,,50945,0.0,shopify,0,deny,manual,78.00,,true,true,50945,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_22_50944_23923_6aad2be7-644e-45c4-bad2-3e4f5f50f8c5.jpg?v=1597676107,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_04_50943_23749.jpg?v=1597676107,lb,,
3-4-sleeve-shirt,,,,,,,,Black,,Medium,,,50947,0.0,shopify,2,deny,manual,78.00,,true,true,50947,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_04_50943_23753.jpg?v=1597676107,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_04_50943_23749.jpg?v=1597676107,lb,,
3-4-sleeve-shirt,,,,,,,,Black,,Large,,,50949,0.0,shopify,1,deny,manual,78.00,,true,true,50949,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_22_50944_23924.jpg?v=1597676107,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_04_50943_23749.jpg?v=1597676107,lb,,
3-4-sleeve-shirt,,,,,,,,White,,X-Small,,,50944,0.0,shopify,1,deny,manual,78.00,,true,true,50944,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_04_50943_23749.jpg?v=1597676107,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_22_50944_23924.jpg?v=1597676107,lb,,
3-4-sleeve-shirt,,,,,,,,White,,Small,,,50946,0.0,shopify,1,deny,manual,78.00,,true,true,50946,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_22_50944_23922.jpg?v=1597676107,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_22_50944_23924.jpg?v=1597676107,lb,,
3-4-sleeve-shirt,,,,,,,,White,,Medium,,,50948,0.0,shopify,1,deny,manual,78.00,,true,true,50948,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_22_50944_23924.jpg?v=1597676107,lb,,
3-4-sleeve-shirt,,,,,,,,White,,Large,,,50950,0.0,shopify,2,deny,manual,78.00,,true,true,50950,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_22_50944_23924.jpg?v=1597676107,lb,,
turtleneck-top,Turtleneck,"This Turtleneck from Organic by John Patrick is a fitted piece with layering potential. Light and easy, this slim piece sets the standard for long-sleeves everywhere. Layering collar. Raw hemming. 100% Organic Cotton. Made in Peru. <em>Ashley is wearing an X-Small.</em>",Organic by John Patrick,women's tops,"arrivals, AW15, black, feather, organic, organic by john patrick, Shot 7/2/15, tops, turtleneck, white, Woman",true,Color,Black,Size,X-Small,,,51000,0.0,shopify,2,deny,manual,98.00,,true,true,51000,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_12_51000_23821.jpg?v=1597676075,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_12_51000_23821.jpg?v=1597676075,lb,,
turtleneck-top,,,,,,,,Black,,Small,,,51002,0.0,shopify,2,deny,manual,98.00,,true,true,51002,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_12_51000_23820.jpg?v=1597676075,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_12_51000_23821.jpg?v=1597676075,lb,,
turtleneck-top,,,,,,,,Black,,Medium,,,51004,0.0,shopify,2,deny,manual,98.00,,true,true,51004,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_12_51000_23823.jpg?v=1597676075,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_12_51000_23821.jpg?v=1597676075,lb,,
turtleneck-top,,,,,,,,Black,,Large,,,51006,0.0,shopify,2,deny,manual,98.00,,true,true,51006,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_12_51000_23825.jpg?v=1597676075,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_12_51000_23821.jpg?v=1597676075,lb,,
turtleneck-top,,,,,,,,White,,X-Small,,,50999,0.0,shopify,2,deny,manual,98.00,,true,true,50999,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_12_51000_23827.jpg?v=1597676075,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_15_50999_23845.jpg?v=1597676075,lb,,
turtleneck-top,,,,,,,,White,,Small,,,51001,0.0,shopify,2,deny,manual,98.00,,true,true,51001,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_15_50999_23845.jpg?v=1597676075,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_15_50999_23845.jpg?v=1597676075,lb,,
turtleneck-top,,,,,,,,White,,Medium,,,51003,0.0,shopify,2,deny,manual,98.00,,true,true,51003,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_15_50999_23848.jpg?v=1597676075,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_15_50999_23845.jpg?v=1597676075,lb,,
turtleneck-top,,,,,,,,White,,Large,,,51005,0.0,shopify,2,deny,manual,98.00,,true,true,51005,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_15_50999_23851.jpg?v=1597676075,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_15_50999_23845.jpg?v=1597676075,lb,,
turtleneck-top,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_15_50999_23853.jpg?v=1597676075,9,,,,,,,,,,,,,,,,,,,,,
dress-1,Elastic Waist Dress,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://babyandco.us/"" target=""_blank"">Baby &amp; Company</a></em></p><p>With Kimono-like sleeves, this sheath dress from Co. pairs beautifully with the season. High neckline with billowing material. Invisible zip closure at center back neck. Elastic waistband for ease. Color Black. 82% Triacetate, 18% Polyester. Made in China. <em>Ashley is wearing an X-Small.</em></p>",Co,women's dresses,"arrivals, AW15, black, Co, dresses, nightout, Shot 7/2/15, Woman",true,Color,Black,Size,X-Small,,,51037,0.0,shopify,1,deny,manual,748.00,,true,true,51037,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_36_51037_24062.jpg?v=1597675970,1,,false,,,,,,,,,,,,,,,,,lb,,
dress-1,,,,,,,,Black,,Small,,,51038,0.0,shopify,1,deny,manual,748.00,,true,true,51038,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_36_51037_24063.jpg?v=1597675970,2,,,,,,,,,,,,,,,,,,,lb,,
dress-1,,,,,,,,Black,,Medium,,,51039,0.0,shopify,1,deny,manual,748.00,,true,true,51039,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_36_51037_24066.jpg?v=1597675970,3,,,,,,,,,,,,,,,,,,,lb,,
dress-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_36_51037_24068.jpg?v=1597675970,4,,,,,,,,,,,,,,,,,,,,,
